group,sampleID,info,pc1,pc2,pc3
BRCA,TCGA.BH.A0BW,tempinfo,2.54160841673155,-1.7804424028332,4.20870296502556
BRCA,TCGA.BH.A1FU,tempinfo,6.09971305690377,1.84775933074539,1.64782987426674
BRCA,TCGA.A7.A0CH,tempinfo,12.5451155203947,-13.9385816568224,3.42618713208566
BRCA,TCGA.BH.A1F0,tempinfo,2.0147695235347,-2.70971728580039,-0.472535181737627
BRCA,TCGA.BH.A208,tempinfo,0.995293406881983,5.5195310805217,-3.08265757813967
BRCA,TCGA.AC.A2FM,tempinfo,3.89255929200367,-11.8570588395236,0.478911579774446
BRCA,TCGA.BH.A203,tempinfo,10.8297070847912,4.25689928335508,-0.807099954817955
BRCA,TCGA.BH.A204,tempinfo,15.4854805773854,-16.2774859169321,5.53634004874955
BRCA,TCGA.BH.A1FC,tempinfo,12.5275867167909,-1.09142164036521,1.34226269257951
BRCA,TCGA.GI.A2C9,tempinfo,7.29874943833654,3.74110723646941,3.94427108787203
BRCA,TCGA.BH.A1F6,tempinfo,13.3016119129305,6.39467421447683,-2.26138240291088
BRCA,TCGA.E2.A1LH,tempinfo,2.24564400220702,13.9793586329646,-5.16232869337752
BRCA,TCGA.E2.A1LS,tempinfo,7.78438605019785,-11.5620446367708,6.95043386376386
BRCA,TCGA.BH.A1EW,tempinfo,4.75169805816634,1.83483145118417,-1.25582302226853
BRCA,TCGA.E2.A158,tempinfo,9.07813688979195,-13.3166668886263,3.1950638251883
BRCA,TCGA.BH.A18V,tempinfo,3.12713203022592,-14.7655283157328,2.50788209492845
BRCA,TCGA.BH.A0B3,tempinfo,7.63039539408713,7.05265578371842,-4.35278916669258
BRCA,TCGA.BH.A0E0,tempinfo,4.63378987897283,1.24392916968146,0.427860834975559
BRCA,TCGA.E2.A1BC,tempinfo,-0.267992943858137,-22.2523169499151,3.88288807440629
BRCA,TCGA.AC.A2FF,tempinfo,-7.2480333221793,1.53341969359476,0.154985181000003
BRCA,TCGA.BH.A209,tempinfo,13.3993462220107,4.19411222136906,0.370394857044939
BRCA,TCGA.BH.A0DG,tempinfo,3.11421929809279,9.98232553358958,-5.59916050452949
BRCA,TCGA.BH.A18K,tempinfo,13.6221177103906,8.42517571319782,-2.3933902804084
BRCA,TCGA.BH.A18P,tempinfo,11.1543279366781,-15.7908192850884,-0.167892611959612
BRCA,TCGA.BH.A1ET,tempinfo,8.77220168094537,0.676011344349995,3.84298893496282
BRCA,TCGA.BH.A0B8,tempinfo,11.8165690010576,-12.0849282993873,2.2824305176012
BRCA,TCGA.BH.A0DO,tempinfo,-0.534122664888444,0.94969579732893,2.94088133573462
BRCA,TCGA.BH.A0H5,tempinfo,3.27959485546018,5.66776121272907,-2.19890480781149
BRCA,TCGA.BH.A18S,tempinfo,17.3888427483168,-1.15238106316976,4.28454996408214
BRCA,TCGA.BH.A1EU,tempinfo,-1.42199019274498,0.00447456915417176,1.10851265337501
BRCA,TCGA.BH.A1FD,tempinfo,18.9085783008336,-5.02340643298919,0.123035866643038
BRCA,TCGA.BH.A1FG,tempinfo,15.3792067923828,7.89379047723945,-1.60232870315584
BRCA,TCGA.BH.A0BQ,tempinfo,4.97670680794862,10.381395483177,-1.34717311444045
BRCA,TCGA.BH.A0C3,tempinfo,-0.763916505282116,8.20037740896585,-0.589412646357163
BRCA,TCGA.BH.A0HA,tempinfo,5.51354086399078,15.3949844223263,-3.82050133635423
BRCA,TCGA.AC.A2FB,tempinfo,4.26471775613545,-5.67504030633418,2.76052980298307
BRCA,TCGA.BH.A0BT,tempinfo,8.74611517625107,9.93506349393268,-1.15634122585499
BRCA,TCGA.BH.A18N,tempinfo,10.41554227217,-0.296894041619223,1.97750449552008
BRCA,TCGA.BH.A18R,tempinfo,14.7333782159387,2.25620895587728,1.74589597657506
BRCA,TCGA.BH.A1FN,tempinfo,10.7989630701953,-1.3479912714371,-2.43562587204113
BRCA,TCGA.A7.A0CE,tempinfo,3.16155551789194,1.93298451575867,1.35681121012237
BRCA,TCGA.A7.A0DB,tempinfo,5.60298481755581,-1.28259790761095,1.00370643498948
BRCA,TCGA.A7.A13G,tempinfo,14.2734233818028,-14.0759124886808,2.51348891871163
BRCA,TCGA.AC.A23H,tempinfo,14.2698310146577,0.995836154365898,-2.56343365726856
BRCA,TCGA.BH.A0AY,tempinfo,8.39005997627319,6.64637471906873,-1.12458088358633
BRCA,TCGA.BH.A0C0,tempinfo,8.09592557686628,8.55438084819251,-1.79152047275224
BRCA,TCGA.BH.A0DL,tempinfo,10.7410505152676,1.59469604504004,-2.93758977198452
BRCA,TCGA.BH.A0H9,tempinfo,6.14829252540681,-17.5471685788683,10.1675513942992
BRCA,TCGA.BH.A1EN,tempinfo,17.536836493733,-0.754273099133617,0.0753301283518122
BRCA,TCGA.BH.A1EO,tempinfo,3.01185031060618,-19.9044072512623,6.15368745930009
BRCA,TCGA.E2.A15M,tempinfo,2.00700153241998,-0.263309168205493,3.49084713931457
BRCA,TCGA.A7.A0D9,tempinfo,10.6855956430037,-11.9937557857961,2.84530706859174
BRCA,TCGA.BH.A0AU,tempinfo,6.00917301941379,2.69266103321976,1.34202567977151
BRCA,TCGA.BH.A0DK,tempinfo,-2.08275515552804,6.62985840845454,-6.18205717745819
BRCA,TCGA.BH.A0DT,tempinfo,2.70142061569378,2.28966511855621,-1.4585842867649
BRCA,TCGA.E2.A15I,tempinfo,7.8850034980981,-18.9059738614674,3.18999745306154
BRCA,TCGA.BH.A0DD,tempinfo,16.4867305020486,-14.74114872631,6.82764723428909
